순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
2993,P2000320170427000095717,식품 수입·유통단계 안전관리 강화,P2000220170427000095677,성과목표,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품 수입·유통단계 안전관리 강화"
2994,P2000420170428000095750,국민 다소비 수입식품 유통 안전관리,P2000320170427000095717,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품 수입·유통단계 안전관리 강화>>국민 다소비 수입식품 유통 안전관리"
2995,P2000420170428000095749,수입검사체계 합리화를 통한 위해우려 제품 통관 차단,P2000320170427000095717,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품 수입·유통단계 안전관리 강화>>수입검사체계 합리화를 통한 위해우려 제품 통관 차단"
2996,P2000420170428000095747,수입식품 안전관리 개선을 통한 안전성 제고,P2000320170427000095717,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품 수입·유통단계 안전관리 강화>>수입식품 안전관리 개선을 통한 안전성 제고"
2997,P2000420170428000095748,수입식품 통관 전 사전 안전관리 강화,P2000320170427000095717,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품 수입·유통단계 안전관리 강화>>수입식품 통관 전 사전 안전관리 강화"
2998,P2000320170427000095714,식품안전관리 인프라 확산,P2000220170427000095677,성과목표,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품안전관리 인프라 확산"
2999,P2000420170428000095737,범정부 불량식품 근절 추진단 운영,P2000320170427000095714,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품안전관리 인프라 확산>>범정부 불량식품 근절 추진단 운영"
3000,P2000420170428000095736,합리적 식품관련 법령 정비 및 식품업계 생산성 향상 지원,P2000320170427000095714,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품안전관리 인프라 확산>>합리적 식품관련 법령 정비 및 식품업계 생산성 향상 지원"
3001,P2000320170427000095715,식품안전기준 선진화,P2000220170427000095677,성과목표,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품안전기준 선진화"
3002,P2000420170428000095739,식품 중 잔류·오염물질 안전관리 강화,P2000320170427000095715,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품안전기준 선진화>>식품 중 잔류·오염물질 안전관리 강화"
3003,P2000420170428000095738,식품안전 기준·규격의 합리적 개선·강화,P2000320170427000095715,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품안전기준 선진화>>식품안전 기준·규격의 합리적 개선·강화"
3004,P2000420170428000095740,"식품첨가물, 기구·용기·포장의 기준·규격 선진화",P2000320170427000095715,관리과제,2017-09-25,식품의약품안전처,1471000,">>삶의 질을 높이는 식의약 안전 확보, 생산부터 소비까지 사람중심 안전관리 국민의 더 안전한 더 건강한 삶 구현, 안전을 넘어 국민 안심 확보>>합리적이고 촘촘한 식품안전망을 구축하여 불량식품을 근절한다>>식품안전기준 선진화>>식품첨가물, 기구·용기·포장의 기준·규격 선진화"
3005,P2000120140320000078963,새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다., ,임무,2014-10-06,새만금개발청,1730000,>>새만금을 동북아 경제중심지로 조성하여 국가균형발전과 국가경쟁력 강화에 이바지 한다.
